;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
0;;;;;;;;;;;;;;;;;;
MAE;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;
MAE;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;
MAE;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;
MAE;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;
MAE;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;
MAE;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;
MAE;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;
MAE;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;
MAE;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614
MAE;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561
0;;;;;;;;;;;;;;;;;;
predicted;26.57417562;82.94995826;12.18535277;109.8747822;90.08054054;6.099019514;72.17250466;47.87467277;8.348469228;7.196152423;1;21.57839583;41.46948949;26.40121947;81.42534081;3.732050808;70.03701167;
predicted;93.60547228;-6.372698919;83.21972431;-1.133460494;40.60249313;101.4216548;16.58662338;100.558491;21.71033881;84.72767869;2.452914324;62.73451986;86.91218606;22.02981968;96.11191962;3.94315253;93.43706442;
predicted;13.61243032;104.6984628;89.29158194;2.060681767;30.29633759;7.850534839;101.5814012;98.62809415;88.93789457;75.07798279;69.6626557;2.018756629;83.21430769;91.93261897;104.4139448;2.043678206;4.405052019;
predicted;110.1060341;98.33130226;98.58684447;75.79372593;111.1961324;120.6766958;4.329840328;1.583817847;24.26974466;97.30518959;58.26062097;107.1686808;101.2279345;6.264999148;5.259268976;12.09529698;49.98033969;
predicted;95.93887073;4.683963928;100.3604669;99.45841267;-3.259950334;47.71037411;67.14779485;8.89207715;92.24575086;42.16717386;40.0415414;95.45200982;104.9989363;23.52179575;80.91323907;96.5830988;95.78219734;
predicted;0;89;18;56;76;11;5;3;11;5;39;106;105;1;0;75;71;
predicted;121.2052273;62.55607864;58.2990037;56.91750399;70.46123953;91.65075289;52.27964164;13.48735884;48.22158356;103.6777395;-52.63141549;4.852587369;50.19469736;109.2860647;108.0475233;113.4609899;62.11071925;
predicted;90.91102341;21.88822405;25.84683294;25.14422599;79.33070232;82.16460905;98.331694;37.27620847;45.69186247;61.10745355;84.3140472;27.75638696;67.06105437;88.59703125;98.2672382;76.23490938;66.08274335;
predicted;67.94846594;92.83380798;55.01517075;83.86478228;94.20900255;63.46760127;91.80150658;33.78027513;19.024886;91.55587537;0.46366428;56.12424644;17.21608641;85.91612924;72.19440014;11.23433539;86.31442401;61.04154891
predicted;87.38633881;19.34042568;0.839031288;1.603575339;80.39752655;291.8839076;97.8943286;40.24221598;35.81072052;89.85581794;100.9678756;9.830034106;98.84887506;30.12926888;25.22420786;90.96109243;1.789527102;93.47592221
0;;;;;;;;;;;;;;;;;;
real;9.779614325;88.01652893;1.167315175;100;94.1580756;2.135231317;85.9922179;54.60750853;4.166666667;1.486988848;3.03030303;19.73684211;100;15.65836299;94.93534483;1.101928375;28.72340426;
real;100;33.18435754;95.29411765;37.80068729;25.83333333;100;14.53900709;98.05825243;6.166666667;100;0;33.33333333;85.47008547;21.76470588;100;4.87804878;100;
real;2.4;97.82016349;94.28571429;5.915178571;7.112068966;12.6984127;95.01779359;99.64664311;91.82879377;36.39240506;100;1.315789474;98.77488515;99.6099844;91.66666667;6.310679612;11.9047619;
real;97.30046948;94.57831325;100;100;97.08333333;94.79553903;2.564102564;37.58389262;9.75177305;97.52066116;100;96.82539683;100;11.8852459;5.147058824;18.18181818;41.43192488;
real;100;5.294117647;94.24206816;97.05882353;21.30584192;33.5078534;57.33695652;2.602230483;97.88359788;27.96709753;38.13229572;100;100;14.78599222;99.58158996;93.71727749;100;
real;3.305785124;83.94160584;17.70428016;100;99.51219512;8.90052356;4.60251046;6.060606061;12.34177215;20.98009188;21.55477032;100;86.06557377;4;1.5;100;94.84978541;
real;100;100;100;35.86956522;100;100;24.33862434;11.15702479;32.35294118;100;3.205128205;6.008583691;95.75892857;96;86.68478261;100;40.24960998;
real;100;5.053598775;4.240282686;1.50862069;100;100;100;21.95121951;19.34604905;15.98360656;79.55307263;5.291005291;28.0952381;98.04964539;98.46416382;28.125;35.0177305;
real;23.60515021;98.99328859;100;100;100;100;99.6835443;100;16.90140845;100;5.109489051;41.56626506;17.77108434;100;100;14.43850267;94.4741533;100
real;100;7.936507937;17.31669267;2.919708029;100;8.724832215;90.90909091;32.59385666;17.31843575;100;94.73684211;8.225616921;88.8;26.21359223;12.82051282;91.4893617;2.997275204;100
;;;;;;;;;;;;;;;;;;
absolute error test;16.7945613;5.066570666;11.0180376;9.874782229;4.077535064;3.963788197;13.81971324;6.732835757;4.181802561;5.709163575;2.03030303;1.841553721;58.53051051;10.74285648;13.51000402;2.630122433;41.31360741;
absolute error test;6.394527723;39.55705646;12.07439334;38.93414778;14.7691598;1.42165475;2.04761629;2.50023859;15.54367214;15.27232131;2.452914324;29.40118653;1.442100586;0.265113799;3.888080385;0.93489625;6.562935577;
absolute error test;11.21243032;6.878299278;4.994132347;3.854496804;23.18426862;4.847877861;6.563607582;1.018548956;2.890899203;38.68557773;30.3373443;0.702967155;15.56057746;7.677365425;12.74727811;4.267001406;7.499709881;
absolute error test;12.80556459;3.752989011;1.413155535;24.20627407;14.11279906;25.88115677;1.765737764;36.00007477;14.51797161;0.215471568;41.73937903;10.34328398;1.227934516;5.620246752;0.112210152;6.086521196;8.548414813;
absolute error test;4.061129266;0.610153719;6.11839873;2.399589138;24.56579225;14.20252071;9.810838333;6.289846667;5.637847023;14.20007633;1.909245679;4.547990181;4.998936339;8.73580353;18.66835089;2.86582131;4.217802661;
absolute error test;3.305785124;5.05839416;0.29571984;44;23.51219512;2.09947644;0.39748954;3.060606061;1.34177215;15.98009188;17.44522968;6;18.93442623;3;1.5;25;23.84978541;
absolute error test;21.20522732;37.44392136;41.7009963;21.04793877;29.53876047;8.349247111;27.9410173;2.330334054;15.86864238;3.677739506;55.83654369;1.155996322;45.56423121;13.28606466;21.36274066;13.46098993;21.86110927;
absolute error test;9.088976589;16.83462528;21.60655026;23.6356053;20.66929768;17.83539095;1.668305999;15.32498896;26.34581342;45.12384699;4.760974574;22.46538167;38.96581627;9.452614143;0.196925617;48.10990938;31.06501285;
absolute error test;44.34331573;6.159480605;44.98482925;16.13521772;5.790997454;36.53239873;7.882037723;66.21972487;2.123477554;8.444124627;4.645824771;14.55798138;0.554997932;14.08387076;27.80559986;3.204167275;8.159729294;38.95845109
absolute error test;12.61366119;11.40391774;16.47766138;1.31613269;19.60247345;283.1590754;6.985237691;7.648359318;18.49228477;10.14418206;6.231033476;1.604417185;10.04887506;3.915676646;12.40369504;0.528269267;1.207748102;6.524077792
;;;;;;;;;;;;;;;;;;
MAE Test;12.46104399;;;;;;;;;;;;;;;;;
MAE Test;11.38011857;;;;;;;;;;;;;;;;;
MAE Test;10.76014014;;;;;;;;;;;;;;;;;
MAE Test;12.25583442;;;;;;;;;;;;;;;;;
MAE Test;7.872949574;;;;;;;;;;;;;;;;;
MAE Test;11.45770421;;;;;;;;;;;;;;;;;
MAE Test;22.44891178;;;;;;;;;;;;;;;;;
MAE Test;20.77353152;;;;;;;;;;;;;;;;;
MAE Test;19.47701259;;;;;;;;;;;;;;;;;
MAE Test;23.90593213;;;;;;;;;;;;;;;;;
